
Assembly                                   FullName                                                                                                                                Name                                                     
System                                     System.IO.Compression.ZLibNative+DeflateEndDelegate                                                                                     DeflateEndDelegate                                       
System                                     System.IO.Compression.ZLibNative+DeflateInit2_Delegate                                                                                  DeflateInit2_Delegate                                    
System                                     System.IO.Compression.ZLibNative+InflateDelegate                                                                                        InflateDelegate                                          
System                                     System.IO.Compression.ZLibNative+InflateEndDelegate                                                                                     InflateEndDelegate                                       
System                                     System.IO.Compression.ZLibNative+InflateInit2_Delegate                                                                                  InflateInit2_Delegate                                    
System                                     System.IO.Compression.ZLibNative+ZlibCompileFlagsDelegate                                                                               ZlibCompileFlagsDelegate                                 
System                                     System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System                                     System.Net.CompletionDelegate                                                                                                           CompletionDelegate                                       
System                                     System.Net.CreateConnectionDelegate                                                                                                     CreateConnectionDelegate                                 
System                                     System.Net.DelegatedStream                                                                                                              DelegatedStream                                          
System                                     System.Net.GeneralAsyncDelegate                                                                                                         GeneralAsyncDelegate                                     
System                                     System.Net.HttpAbortDelegate                                                                                                            HttpAbortDelegate                                        
System                                     System.Net.HttpContinueDelegate                                                                                                         HttpContinueDelegate                                     
System                                     System.Net.InterlockedGate                                                                                                              InterlockedGate                                          
System                                     System.Net.NetworkInformation.GatewayIPAddressInformation                                                                               GatewayIPAddressInformation                              
System                                     System.Net.NetworkInformation.GatewayIPAddressInformationCollection                                                                     GatewayIPAddressInformationCollection                    
System                                     System.Net.NetworkInformation.StableUnicastIpAddressTableDelegate                                                                       StableUnicastIpAddressTableDelegate                      
System                                     System.Net.NetworkInformation.SystemGatewayIPAddressInformation                                                                         SystemGatewayIPAddressInformation                        
System                                     System.Net.Sockets.AcceptExDelegate                                                                                                     AcceptExDelegate                                         
System                                     System.Net.Sockets.ConnectExDelegate                                                                                                    ConnectExDelegate                                        
System                                     System.Net.Sockets.DisconnectExDelegate                                                                                                 DisconnectExDelegate                                     
System                                     System.Net.Sockets.DisconnectExDelegate_Blocking                                                                                        DisconnectExDelegate_Blocking                            
System                                     System.Net.Sockets.GetAcceptExSockaddrsDelegate                                                                                         GetAcceptExSockaddrsDelegate                             
System                                     System.Net.Sockets.TransmitPacketsDelegate                                                                                              TransmitPacketsDelegate                                  
System                                     System.Net.Sockets.WSARecvMsgDelegate                                                                                                   WSARecvMsgDelegate                                       
System                                     System.Net.Sockets.WSARecvMsgDelegate_Blocking                                                                                          WSARecvMsgDelegate_Blocking                              
System                                     System.Net.UnlockConnectionDelegate                                                                                                     UnlockConnectionDelegate                                 
System                                     System.Runtime.InteropServices.StandardOleMarshalObject+GetMarshalSizeMax_Delegate                                                      GetMarshalSizeMax_Delegate                               
System                                     System.Runtime.InteropServices.StandardOleMarshalObject+MarshalInterface_Delegate                                                       MarshalInterface_Delegate                                
System                                     System.Security.Cryptography.X509Certificates.X509Certificate2Collection+EnforceIterationCountLimitDelegate                             EnforceIterationCountLimitDelegate                       
System                                     System.Security.Cryptography.X509Certificates.X509Certificate2Collection+FindProcDelegate                                               FindProcDelegate                                         
System                                     System.Text.RegularExpressions.CreateInstanceDelegate                                                                                   CreateInstanceDelegate                                   
System                                     System.Text.RegularExpressions.FindFirstCharDelegate                                                                                    FindFirstCharDelegate                                    
System                                     System.Text.RegularExpressions.NoParamDelegate                                                                                          NoParamDelegate                                          
System.ComponentModel.Composition          System.ComponentModel.Composition.Hosting.AggregateCatalog                                                                              AggregateCatalog                                         
System.ComponentModel.Composition          System.ComponentModel.Composition.Hosting.AggregateExportProvider                                                                       AggregateExportProvider                                  
System.ComponentModel.Composition          System.ComponentModel.Composition.Primitives.ExportedDelegate                                                                           ExportedDelegate                                         
System.Configuration                       System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Core                                System.Dynamic.UpdateDelegates                                                                                                          UpdateDelegates                                          
System.Core                                System.Linq.Expressions.Compiler.DelegateHelpers                                                                                        DelegateHelpers                                          
System.Core                                System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Drawing                             System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.EnterpriseServices                  System.EnterpriseServices.ResourcePool+TransactionEndDelegate                                                                           TransactionEndDelegate                                   
System.IO.Compression.FileSystem           System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Net.Http                            System.Net.Http.Headers.GenericHeaderParser+GetParsedValueLengthDelegate                                                                GetParsedValueLengthDelegate                             
System.Runtime.Serialization               System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Runtime.Serialization               System.Runtime.Serialization.CreateXmlSerializableDelegate                                                                              CreateXmlSerializableDelegate                            
System.Runtime.Serialization               System.Runtime.Serialization.DataContractSerializerExtensions+SurrogateProviderAdapter                                                  SurrogateProviderAdapter                                 
System.Runtime.Serialization               System.Runtime.Serialization.DataContractSurrogateCaller                                                                                DataContractSurrogateCaller                              
System.Runtime.Serialization               System.Runtime.Serialization.IDataContractSurrogate                                                                                     IDataContractSurrogate                                   
System.Runtime.Serialization               System.Runtime.Serialization.ISerializationSurrogateProvider                                                                            ISerializationSurrogateProvider                          
System.Runtime.Serialization               System.Runtime.Serialization.Json.JsonFormatClassReaderDelegate                                                                         JsonFormatClassReaderDelegate                            
System.Runtime.Serialization               System.Runtime.Serialization.Json.JsonFormatClassWriterDelegate                                                                         JsonFormatClassWriterDelegate                            
System.Runtime.Serialization               System.Runtime.Serialization.Json.JsonFormatCollectionReaderDelegate                                                                    JsonFormatCollectionReaderDelegate                       
System.Runtime.Serialization               System.Runtime.Serialization.Json.JsonFormatCollectionWriterDelegate                                                                    JsonFormatCollectionWriterDelegate                       
System.Runtime.Serialization               System.Runtime.Serialization.Json.JsonFormatGetOnlyCollectionReaderDelegate                                                             JsonFormatGetOnlyCollectionReaderDelegate                
System.Runtime.Serialization               System.Runtime.Serialization.SurrogateDataContract                                                                                      SurrogateDataContract                                    
System.Runtime.Serialization               System.Runtime.Serialization.SurrogateDataContract+SurrogateDataContractCriticalHelper                                                  SurrogateDataContractCriticalHelper                      
System.Runtime.Serialization               System.Runtime.Serialization.XmlFormatClassReaderDelegate                                                                               XmlFormatClassReaderDelegate                             
System.Runtime.Serialization               System.Runtime.Serialization.XmlFormatClassWriterDelegate                                                                               XmlFormatClassWriterDelegate                             
System.Runtime.Serialization               System.Runtime.Serialization.XmlFormatCollectionReaderDelegate                                                                          XmlFormatCollectionReaderDelegate                        
System.Runtime.Serialization               System.Runtime.Serialization.XmlFormatCollectionWriterDelegate                                                                          XmlFormatCollectionWriterDelegate                        
System.Runtime.Serialization               System.Runtime.Serialization.XmlFormatGetOnlyCollectionReaderDelegate                                                                   XmlFormatGetOnlyCollectionReaderDelegate                 
System.Runtime.Serialization               System.Text.SurrogateChar                                                                                                               SurrogateChar                                            
System.Security                            System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.ServiceProcess                      System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.ServiceProcess                      System.ServiceProcess.ServiceBase+DeferredHandlerDelegate                                                                               DeferredHandlerDelegate                                  
System.ServiceProcess                      System.ServiceProcess.ServiceBase+DeferredHandlerDelegateAdvanced                                                                       DeferredHandlerDelegateAdvanced                          
System.ServiceProcess                      System.ServiceProcess.ServiceBase+DeferredHandlerDelegateAdvancedSession                                                                DeferredHandlerDelegateAdvancedSession                   
System.ServiceProcess                      System.ServiceProcess.ServiceBase+DeferredHandlerDelegateCommand                                                                        DeferredHandlerDelegateCommand                           
System.Windows.Forms                       System.Deployment.Internal.Isolation.Manifest.CLRSurrogateEntry                                                                         CLRSurrogateEntry                                        
System.Windows.Forms                       System.Deployment.Internal.Isolation.Manifest.CLRSurrogateEntryFieldId                                                                  CLRSurrogateEntryFieldId                                 
System.Windows.Forms                       System.Deployment.Internal.Isolation.Manifest.ICLRSurrogateEntry                                                                        ICLRSurrogateEntry                                       
System.Windows.Forms                       System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Windows.Forms                       System.Windows.Forms.AxHost+AboutBoxDelegate                                                                                            AboutBoxDelegate                                         
System.Windows.Forms                       System.Windows.Forms.NavigateEventArgs                                                                                                  NavigateEventArgs                                        
System.Windows.Forms                       System.Windows.Forms.NavigateEventHandler                                                                                               NavigateEventHandler                                     
System.Windows.Forms                       System.Windows.Forms.PropertyGridInternal.GridEntry+GridEntryAccessibleObject+SelectDelegate                                            SelectDelegate                                           
System.Windows.Forms                       System.Windows.Forms.UnsafeNativeMethods+NavigateDirection                                                                              NavigateDirection                                        
System.Windows.Forms                       System.Windows.Forms.WebBrowserNavigatedEventArgs                                                                                       WebBrowserNavigatedEventArgs                             
System.Windows.Forms                       System.Windows.Forms.WebBrowserNavigatedEventHandler                                                                                    WebBrowserNavigatedEventHandler                          
System.Xml                                 System.LocalAppContext+TryGetSwitchDelegate                                                                                             TryGetSwitchDelegate                                     
System.Xml                                 System.Xml.SecureStringHasher+HashCodeOfStringDelegate                                                                                  HashCodeOfStringDelegate                                 
System.Xml                                 System.Xml.XmlEncodedRawTextWriter+<WriteSurrogateCharEntityAsync>d__116                                                                <WriteSurrogateCharEntityAsync>d__116                    
System.Xml                                 System.Xml.XmlQualifiedName+HashCodeOfStringDelegate                                                                                    HashCodeOfStringDelegate                                 
System.Xml                                 System.Xml.XmlTextReaderImpl+<ParseTextAsync_Surrogate>d__547                                                                           <ParseTextAsync_Surrogate>d__547                         
System.Xml                                 System.Xml.XmlTextReaderImpl+OnDefaultAttributeUseDelegate                                                                              OnDefaultAttributeUseDelegate                            
System.Xml                                 System.Xml.XmlUtf8RawTextWriter+<WriteSurrogateCharEntityAsync>d__106                                                                   <WriteSurrogateCharEntityAsync>d__106                    
System.Xml                                 System.Xml.XmlWellFormedWriter+<WriteSurrogateCharEntityAsync>d__142                                                                    <WriteSurrogateCharEntityAsync>d__142                    
System.Xml.Linq                            System.Xml.Linq.XHashtable`1+ExtractKeyDelegate                                                                                         ExtractKeyDelegate                                       
Unity.Burst                                Unity.Burst.BurstCompiler+BurstCompilerHelper+IsBurstEnabled_00000145$PostfixBurstDelegate                                              IsBurstEnabled_00000145$PostfixBurstDelegate             
Unity.Burst                                Unity.Burst.BurstCompiler+BurstCompilerHelper+IsBurstEnabledDelegate                                                                    IsBurstEnabledDelegate                                   
Unity.Burst                                Unity.Burst.BurstCompiler+FakeDelegate                                                                                                  FakeDelegate                                             
